Movie_id,Title,Director,Actor1,Actor2,Actor3,Genre,Overview,Ratings,Votes,Year
43656,13 Moons,Alexandre Rockwell,Jennifer Beals, Elizabeth Bracco,Steve Buscemi,Comedy Drama,"Things aren't looking so good for television clown Banana's career, and the fact that his estranged wife, Suzi, has just been arrested for assaulting his girlfriend, Lily, just serves to compound Banana's despair.",5.7,1305,2002
1429,25th Hour,Spike Lee,Edward Norton,Philip Seymour Hoffman,Barry Pepper,Crime Drama,"In New York City in the days following the events of 9/11, Monty Brogan is a convicted drug dealer about to start a seven-year prison sentence, and his final hours of freedom are devoted to hanging out with his closest buddies and trying to prepare his girlfriend for his extended absence.",7.6,183408,2002
2752,40 Days and 40 Nights,Michael Lehmann,Josh Hartnett,Shannyn Sossamon,Paulo Costanzo,Comedy Romance,"Matt Sullivan's last big relationship ended in disaster and ever since his heart's been aching and his commitment's been lacking. Then came Lent, that time of year when everybody gives something up. That's when Matt decides to go where no man's gone before and make a vow: No sex. Whatsoever. For 40 straight days. At first he has everything under control. That is until the woman of his dreams, Erica, walks into his life.",5.6,75251,2002
65,8 Mile,Curtis Hanson,Eminem,Kim Basinger,Brittany Murphy,Drama Music,"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every momentÃ¢ÂÂ¦ is another chance.",7.2,311626,2002
15992,Abandon,Stephen Gaghan,Katie Holmes,Benjamin Bratt,Zooey Deschanel,Drama Mystery Thriller,"A psychological thriller about a senior at one of America's most prestigious universities. Under enormous pressure to complete her thesis and earn a top job at one of the world's most competitive consulting firms, Katie is still coping with the sudden unexplained disappearance of her first love two years prior. As the investigation continues, Katie is forced to choose between past passions and new possibilities, even as new facts are uncovered.",4.8,10068,2002
245,About a Boy,"Chris Weitz, Paul Weitz",Hugh Grant,Nicholas Hoult,Toni Collette,Drama Comedy Romance,"Will Freeman is a good-looking, smooth-talking bachelor whose primary goal in life is avoiding any kind of responsibility. But when he invents an imaginary son in order to meet attractive single moms, Will gets a hilarious lesson about life from a bright, but hopelessly geeky 12-year-old named Marcus. Now, as Will struggles to teach Marcus the art of being cool, Marcus teaches Will that you're never too old to grow up.",7.1,189803,2002
2755,About Schmidt,Alexander Payne,Jack Nicholson,Kathy Bates,Hope Davis,Drama Comedy,"A recently retired man embarks on a journey to his estranged daughter's wedding, only to discover more about himself and life than he ever expected.",7.2,132167,2002
2757,Adaptation.,Spike Jonze,Nicolas Cage,Meryl Streep,Chris Cooper,Comedy Crime Drama,"Nicolas Cage is Charlie Kaufman, a confused L.A. screenwriter overwhelmed by feelings of inadequacy, sexual frustration, self-loathing, and by the screenwriting ambitions of his freeloading twin brother Donald. While struggling to adapt ""The Orchid Thief,"" by Susan Orlean, Kaufman's life spins from pathetic to bizarre. The lives of Kaufman, Orlean's book, become strangely intertwined as each one's search for passion collides with the others'.",7.7,200234,2002
11692,The Adventures of Pluto Nash,Ron Underwood,Eddie Murphy,Randy Quaid,Rosario Dawson,Action Comedy Sci-Fi,"The year is 2087, the setting is the moon. Pluto Nash, the high-flying successful owner of the hottest nightclub in the universe, finds himself in trouble when he refuses to sell his club to lunar gangster Mogan, who just happens to be helping the mysterious Rex Crater mastermind a plan to take over the entire moon.",3.9,26717,2002
13950,All About the Benjamins,Kevin Bray,Ice Cube,Mike Epps,Eva Mendes,Action Adventure Comedy,"Bucum Jackson (Cube) is a bounty hunter with a lot of attitude and no interest in taking on a partner. Working at Martinez Bail Bonds, Jackson has unorthodox methods of tracking down low-life criminals, but they work, and one day he hopes to become his own boss and open up his own private investigation firm. Reggie Wright (Epps) is a slippery con artist who is avoiding the law, and Jackson. During a cat and mouse chase, the two stumble on a multi-million dollar diamond heist. Hiding from Jackson, Wright finds himself in the thieves' getaway van and ends up having to escape from them after they discover their booty is fake, much to the displeasure of their ruthless boss (Flanagan). When Wright meets up with his girlfriend (Mendes), he discovers that his recently purchased lottery ticket is the sole winner of $60 million. Unfortunately, his wallet, which held the ticket, was left in the thieves' van, so he persuades Jackson to help him get it back.",5.8,15390,2002
9932,Analyze That,Harold Ramis,Robert De Niro,Billy Crystal,Lisa Kudrow,Comedy Crime,"The mafia's Paul Vitti is back in prison and will need some serious counseling when he gets out. Naturally, he returns to his analyst Dr. Ben Sobel for help and finds that Sobel needs some serious help himself as he has inherited the family practice, as well as an excess stock of stress.",5.9,88739,2002
13435,Antwone Fisher,Denzel Washington,Derek Luke,Joy Bryant,Denzel Washington,Drama Romance,"A sailor prone to violent outbursts is sent to a naval psychiatrist for help. Refusing at first to open up, the young man eventually breaks down and reveals a horrific childhood. Through the guidance of his doctor, he confronts his painful past and begins a quest to find the family he never knew.",7.3,37859,2002
